AEA,AEA_NAME,COUNTY,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,Total_PK12,White_Total,Perc_White
05,Prairie Lakes AEA,46,Humboldt,6516,Twin Rivers Comm School District,49,41,83.67
13,Green Hills AEA,78,Pottawattamie,6534,Underwood Comm School District,833,782,93.88
07,Central Rivers AEA,07,Black Hawk,6536,Union Comm School District,1008,919,91.17
11,Heartland AEA,08,Boone,6561,United Comm School District,361,319,88.37
11,Heartland AEA,77,Polk,6579,Urbandale Comm School District,4308,2794,64.86
15,Great Prairie AEA,89,Van Buren,6592,Van Buren County Comm School District,867,819,94.46
11,Heartland AEA,25,Dallas,6615,Van Meter Comm School District,1090,1008,92.48
13,Green Hills AEA,69,Montgomery,6651,Villisca Comm School District,279,262,93.91
10,Grant Wood AEA,06,Benton,6660,Vinton-Shellsburg Comm School District,1555,1439,92.54
15,Great Prairie AEA,44,Henry,6700,Waco Comm School District,505,444,87.92
05,Prairie Lakes AEA,81,Sac,6741,East Sac County Comm School District,818,763,93.28
15,Great Prairie AEA,58,Louisa,6759,Wapello Comm School District,541,446,82.44
07,Central Rivers AEA,09,Bremer,6762,Wapsie Valley Comm School District,709,692,97.60
10,Grant Wood AEA,92,Washington,6768,Washington Comm School District,1673,1216,72.68
07,Central Rivers AEA,07,Black Hawk,6795,Waterloo Comm School District,10647,4441,41.71
11,Heartland AEA,25,Dallas,6822,Waukee Comm School District,13082,9317,71.22
07,Central Rivers AEA,09,Bremer,6840,Waverly-Shell Rock Comm School District,2394,2133,89.10
15,Great Prairie AEA,93,Wayne,6854,Wayne Comm School District,625,582,93.12
05,Prairie Lakes AEA,40,Hamilton,6867,Webster City Comm School District,1827,1249,68.36
05,Prairie Lakes AEA,74,Palo Alto,6921,West Bend-Mallard Comm School District,395,359,90.89
10,Grant Wood AEA,16,Cedar,6930,West Branch Comm School District,871,768,88.18
15,Great Prairie AEA,29,Des Moines,6937,West Burlington Ind School District,916,671,73.25
01,Keystone AEA,33,Fayette,6943,West Central Comm School District,321,293,91.28
01,Keystone AEA,28,Delaware,6950,West Delaware County Comm School District,1380,1246,90.29
11,Heartland AEA,77,Polk,6957,West Des Moines Comm School District,9228,5270,57.11
01,Keystone AEA,31,Dubuque,6961,Western Dubuque Comm School District,3743,3453,92.25
13,Green Hills AEA,43,Harrison,6969,West Harrison Comm School District,309,278,89.97
09,Mississippi Bend AEA,70,Muscatine,6975,West Liberty Comm School District,1284,489,38.08
12,Northwest AEA,60,Lyon,6983,West Lyon Comm School District,996,890,89.36
07,Central Rivers AEA,64,Marshall,6985,West Marshall Comm School District,970,881,90.83
12,Northwest AEA,67,Monona,6987,West Monona Comm School District,634,536,84.54
12,Northwest AEA,84,Sioux,6990,West Sioux Comm School District,780,459,58.85
12,Northwest AEA,97,Woodbury,6992,Westwood Comm School District,625,550,88.00
12,Northwest AEA,67,Monona,7002,Whiting Comm School District,170,125,73.53
10,Grant Wood AEA,48,Iowa,7029,Williamsburg Comm School District,1269,1117,88.02
09,Mississippi Bend AEA,70,Muscatine,7038,Wilton Comm School District,983,883,89.83
15,Great Prairie AEA,44,Henry,7047,Winfield-Mt Union Comm School District,391,340,86.96
11,Heartland AEA,61,Madison,7056,Winterset Comm School District,1683,1559,92.63
13,Green Hills AEA,43,Harrison,7092,Woodbine Comm School District,534,512,95.88
12,Northwest AEA,97,Woodbury,7098,Woodbury Central Comm School District,566,531,93.82
11,Heartland AEA,25,Dallas,7110,Woodward-Granger Comm School District,1217,1095,89.98
07,Central Rivers AEA,42,Hardin,8100,Choice Charter Schools,86,63,73.26
